 plot of harmonics at z=0.000000 
 n,  B_r_n,  A_r_n 
 0, 0.000000, -0.000000 
 1, -0.094077, -0.000000 
 2, 1.773091, -0.000000 
 3, 0.000503, -0.000000 
 4, 0.000178, -0.000000 
 5, -0.001860, 0.000000 
 6, 0.006961, -0.000000 
 7, -0.000000, -0.000000 
 8, -0.000000, -0.000000 
 9, 0.000000, -0.000000 
 10, 0.000000, -0.000000 
